Age,Gender,FoodCarbohydrate,FoodFat,FoodProtein,FoodSodium,oldenergy,FoodMonounsaturatedFat,FoodPolyunsaturatedFattyAcid,FoodSaturatedFat,FoodTotalSugar,FoodAddedSugar,FoodFibre,FoodFruit,FoodVegetable,FoodRedMeat,FoodProcessedMeat,FoodLegume,FoodCalcium,FoodIron,FoodVitaminC,FoodCopper,FoodZinc,FoodAlcohol,Height,Weight,PhysicalActivity,BMR,EnergyIntake,ratio,Income
33,0,342.2204645,122.5498245,102.3983238,3.591616253,2520.052801,49.43170594,22.24049536,43.87236362,140.2537109,86.5747233,24.27625961,157.7657909,245.0067182,48.65244787,85.93592585,33.07104052,1175.680954,15.22470718,96.30335948,1.536441087,11.9519302,31.63855745,176.753571,84.87836804,1.728357318,1795.284715,3102.893476,1.231281136,716.8578108
34,0,341.2810118,122.442278,102.2517748,3.59132119,2537.430886,49.36994704,22.22556112,43.86282278,139.6825064,85.94793793,24.25333223,158.3667587,245.9240552,48.73422757,85.90953601,32.94652651,1171.053255,15.21502084,95.95265524,1.538249912,11.94537391,31.74756145,176.6733916,85.14217838,1.728505553,1792.49906,3098.344578,1.221055752,722.6513678
35,0,340.2913953,122.3122775,102.0853149,3.590268167,2554.932721,49.29585463,22.20123592,43.84863978,139.1296833,85.32311823,24.22705634,158.9260442,246.8309007,48.81068161,85.92270833,32.79852869,1166.643499,15.20243418,95.60541187,1.539877245,11.9353246,31.81525914,176.5826588,85.36961548,1.728637836,1789.284076,3093.024153,1.210608846,728.3501499
36,0,339.2716384,122.1650289,101.9050041,3.588592951,2572.530735,49.21160053,22.16845401,43.83161025,138.6060093,84.70869087,24.19860786,159.4554317,247.7458664,48.88576728,85.98031772,32.63667682,1162.530901,15.18740471,95.26343056,1.54137834,11.92239067,31.83903929,176.4846126,85.5668326,1.728749488,1785.721486,3087.065105,1.200010971,733.9020199
37,0,338.2417594,122.0057247,101.7168648,3.586430323,2590.188922,49.11933077,22.12819905,43.81356999,138.1217647,84.11239266,24.16918495,159.9682177,248.6889827,48.96362688,86.08592068,32.47107882,1158.790262,15.17044966,94.92894301,1.54281008,11.90721882,31.81763038,176.3823404,85.74061662,1.728835636,1781.898388,3080.609431,1.189337737,739.2519093
38,0,337.2203036,121.8390946,101.5264339,3.583900634,2607.864305,49.02098009,22.08141628,43.79623379,137.6861161,83.54093212,24.13991034,160.4783747,249.6802905,49.04835957,86.24151145,32.31183998,1155.486912,15.15209002,94.6043189,1.544225,11.89044183,31.75103948,176.2785595,85.89781365,1.728891281,1777.900155,3073.796077,1.178664116,744.3423132
39,0,336.2228939,121.6689656,101.338318,3.581096284,2625.508567,48.91809279,22.02892835,43.78103352,137.3065112,82.9996881,24.11173068,160.9996703,250.7383511,49.14378745,86.44730554,32.1685903,1152.671744,15.13278997,94.29174739,1.54566501,11.87262495,31.64043069,176.1754542,86.04470586,1.728911388,1773.8032,3066.748553,1.168058864,749.1140057
40,0,335.260941,121.497877,101.1557929,3.578069568,2643.069732,48.81166846,21.9713634,43.76897208,136.9881484,82.49247324,24.085323,161.5448156,251.8788012,49.25323617,86.70156915,32.05005038,1150.376815,15.11289829,93.99292951,1.547155484,11.85421602,31.48796123,176.0745717,86.1864103,1.728890966,1769.668312,3059.563558,1.157579583,753.5069956
41,0,334.3406738,121.3268027,100.9804969,3.57482358,2660.493785,48.70205447,21.90910471,43.7605124,136.7335836,82.02139364,24.06102023,162.1247303,253.1130979,49.37935331,87.00052096,31.96366381,1148.612021,15.09259952,93.70882584,1.548700484,11.83550559,31.29659823,175.976777,86.32638506,1.72882516,1765.535443,3052.302095,1.147269019,757.461722
42,0,333.4626331,121.1550305,100.8122648,3.571307733,2677.726125,48.58890433,21.8422705,43.75551963,136.5425297,81.58683122,24.03876698,162.7480029,254.4475911,49.52398664,87.33833404,31.91531807,1147.363341,15.0718825,93.43950061,1.550279899,11.81660237,31.0699386,175.8822606,86.46612467,1.728709338,1761.420714,3044.984437,1.137153052,760.9204718
43,0,332.6217294,120.9802295,100.6491313,3.567419015,2694.712776,48.47121471,21.77072884,43.7532692,136.4118876,81.18756468,24.01811392,163.4206062,255.8830314,49.68813793,87.70726013,31.90916833,1146.592993,15.05053176,93.18409111,1.55184905,11.79742832,30.81205013,175.7905914,86.60510376,1.728539172,1757.316183,3037.589859,1.127240679,763.8289762
44,0,331.8078854,120.7987123,100.4875157,3.563009287,2711.401299,48.34744246,21.69414798,43.75252387,136.3360202,80.82102756,23.99825357,164.14589,257.4145679,49.87199789,88.09788503,31.94756884,1146.241598,15.02814393,92.94091105,1.553341017,11.77773433,30.52734286,175.700807,86.740988,1.728310719,1753.192514,3030.061415,1.117525988,766.1381241
