Age,Gender,FoodCarbohydrate,FoodFat,FoodProtein,FoodSodium,oldenergy,FoodMonounsaturatedFat,FoodPolyunsaturatedFattyAcid,FoodSaturatedFat,FoodTotalSugar,FoodAddedSugar,FoodFibre,FoodFruit,FoodVegetable,FoodRedMeat,FoodProcessedMeat,FoodLegume,FoodCalcium,FoodIron,FoodVitaminC,FoodCopper,FoodZinc,FoodAlcohol,Height,Weight,PhysicalActivity,BMR,EnergyIntake,ratio,Income
25,1,270.3717278,97.10332434,77.37852311,2.823865552,1957.894843,39.33603914,17.07725997,34.68775345,115.2876006,81.63569883,19.96485226,117.9336648,199.978822,37.56732493,64.67044711,26.256247,950.9669245,11.78298307,90.63800473,1.233636711,8.982282169,17.1833056,162.9176149,69.02678211,1.675230283,1423.812646,2385.214062,1.218254428,672.2487848
26,1,269.8735801,97.18075611,77.60319777,2.821818635,1963.278195,39.37127479,17.11377318,34.69680813,114.9978521,81.29552735,20.04264257,118.6671947,200.5091084,37.78801607,64.61877437,26.42731149,948.6399491,11.80796885,90.44969792,1.238411429,9.014544959,17.15172025,162.8901503,69.46229372,1.675668112,1423.071754,2384.595958,1.214599115,677.3266141
27,1,269.3642642,97.24867928,77.8164216,2.819033995,1968.838567,39.39997426,17.14732398,34.70732105,114.7177016,80.95076408,20.11711027,119.4043467,201.0226017,37.99624154,64.56969773,26.56146486,946.4880716,11.83229435,90.27538956,1.242918439,9.046181829,17.10683158,162.8612457,69.88214501,1.676112113,1422.165414,2383.708678,1.210718196,682.6055395
28,1,268.8362307,97.30278878,78.01338831,2.815554078,1974.676143,39.4202842,17.17696267,34.71811043,114.4446892,80.60535152,20.1862748,120.1353169,201.5177633,38.18934669,64.52716131,26.65753341,944.4673864,11.85502809,90.11081615,1.247072269,9.076404605,17.0455807,162.8318003,70.27939936,1.676560468,1421.029951,2382.44264,1.20649791,688.0603954
29,1,268.2858395,97.3403815,78.1905948,2.811473514,1980.886487,39.43100361,17.2020404,34.72848873,114.1778812,80.26412183,20.24853505,120.8528985,201.9973424,38.36583938,64.49597841,26.71611226,942.5467932,11.87543368,89.95281875,1.250811392,9.104578759,16.96582006,162.8026544,70.64964273,1.677011436,1419.626521,2380.729911,1.20185075,693.6626583
30,1,267.7130468,97.36025937,78.34587033,2.806931616,1987.557643,39.43154641,17.22218712,34.7382291,113.9177452,79.93253122,20.3026989,121.552538,202.4680728,38.52541187,64.48158801,26.73951342,940.7080615,11.89298112,89.7993216,1.254098995,9.130235459,16.86638827,162.7744664,70.99096773,1.677463372,1417.940183,2378.542721,1.196716346,699.3804609
31,1,267.1207327,97.36248964,78.47827948,2.802100491,1994.767513,39.42184618,17.2372642,34.74748408,113.6658757,79.61629604,20.34797804,122.2321731,202.9400031,38.66886499,64.48972094,26.73159399,938.9446173,11.90733886,89.64920043,1.256921567,9.153068221,16.74712064,162.7476084,71.30372748,1.67791472,1415.97679,2375.8883,1.191060253,705.1785756
32,1,266.5137758,97.34806153,78.58792106,2.797170172,2002.581596,39.40221938,17.2472997,34.75666963,113.4246137,79.32097316,20.38395309,122.8918946,203.4255482,38.79794786,64.52600747,26.69748252,937.2593292,11.9183498,89.50207006,1.259285672,9.172916194,16.60879919,162.7220995,71.59010125,1.678364009,1413.758233,2372.800936,1.184871039,711.0183784
33,1,265.8980067,97.31848836,78.6756559,2.792332421,2011.051146,39.37320661,17.25241547,34.76633059,113.1966137,79.05153215,20.41051674,123.5334877,203.9383744,38.91513508,64.59556394,26.64323103,935.6616607,11.92599567,89.35802792,1.261213393,9.189737481,16.45305095,162.6975858,71.85353559,1.67880983,1411.316732,2369.332402,1.178156213,716.8578108
34,1,265.2791773,97.27540839,78.74280278,2.787764974,2020.211812,39.33541395,17.25275597,34.77700545,112.9844157,78.8119674,20.42780476,124.1599218,204.4922422,39.02336896,64.70259668,26.57542634,934.1646031,11.93035575,89.21739305,1.262737118,9.203576854,16.28220745,162.6733715,72.09813458,1.679250818,1408.688936,2365.542048,1.170937638,722.6513678
35,1,264.6620643,97.22023061,78.79083986,2.783617713,2030.082802,39.28937293,17.24842727,34.7891056,112.7900704,78.60498891,20.43612461,124.7748515,205.0999242,39.12579443,64.85005627,26.50079439,932.7817568,11.93156509,89.08047394,1.263894266,9.214532145,16.0991395,162.6484948,72.32807034,1.679685615,1405.910515,2361.487669,1.16324697,728.3501499
36,1,264.0497885,97.15385937,78.82114182,2.780001851,2040.666579,39.23543282,17.23945212,34.80282052,112.6148536,78.43181784,20.43588939,125.3821816,205.7722848,39.22551097,65.03936642,26.42582785,931.5248416,11.92977707,88.94738881,1.264722483,9.222722995,15.90708124,162.6218364,72.54707218,1.680112843,1403.011729,2357.218024,1.155121591,733.9020199
37,1,263.4433897,97.0765154,78.83477208,2.776982714,2051.9491,39.17369243,17.22574395,34.81805459,112.459085,78.2920976,20.42756256,125.9857255,206.5175797,39.32535932,65.27024112,26.35646064,930.4017891,11.92513297,88.81794868,1.265255673,9.228264458,15.70945508,162.5922414,72.75803393,1.680531067,1400.014268,2352.767471,1.146601284,739.2519093
38,1,262.8416607,96.98765691,78.83233995,2.774576228,2063.900568,39.10397247,17.20709993,34.83439725,112.3220565,78.1839188,20.41161622,126.5889723,207.3409968,39.42775454,65.5405955,26.29780563,929.4154776,11.91774022,88.69160338,1.265521054,9.23124696,15.50970714,162.5586373,72.96275934,1.680938767,1396.929449,2348.152865,1.137725771,744.3423132
39,1,262.241214,96.88599216,78.81392324,2.772748906,2076.476648,39.02582484,17.18321073,34.85112359,112.2020583,78.10394577,20.38850317,127.1949586,208.2444364,39.53457008,65.84654779,26.2539646,928.5630727,11.90765951,88.56744204,1.265537298,9.23172303,15.31116029,162.5201305,73.16184787,1.68133431,1393.757676,2343.372601,1.128533086,749.1140057
40,1,261.6367401,96.76956868,78.77905184,2.771420855,2089.620083,38.93857253,17.15368396,34.86722119,112.0964885,78.04762633,20.35864194,127.8062298,209.2265073,39.647073,66.18250651,26.22791316,927.8359043,11.89490007,88.44423585,1.265313741,9.229700677,15.11688984,162.4760708,73.35471066,1.681715937,1390.489002,2338.407515,1.119058691,753.5069956
41,1,261.0214117,96.63592142,78.72674499,2.770471279,2103.26262,38.84137257,17.11807708,34.88143769,112.0020271,78.00946454,20.32241304,128.4248732,210.2827081,39.76590707,66.54133442,26.22145862,927.2197908,11.87942234,88.32051053,1.264850561,9.225142848,14.9296253,162.4260798,73.53969799,1.682081746,1387.104582,2333.223297,1.109335218,757.461722
42,1,260.3873906,96.48226206,78.65559373,2.76974591,2117.327168,38.73329451,17.07593624,34.89234408,111.9148584,77.98333519,20.28016424,129.0526015,211.4057581,39.89111814,66.91458053,26.23526492,926.6957303,11.86114664,88.19463719,1.264139826,9.217972302,14.75168002,162.3700456,73.71431551,1.682429697,1383.578797,2327.774056,1.099392711,760.9204718
43,1,259.7263941,96.30569237,78.5638791,2.769065784,2131.730065,38.61340723,17.02683755,34.89840851,111.8309229,77.96281967,20.23222287,129.6908657,212.5860401,40.02221462,67.29276962,26.26893553,926.2408755,11.8399666,88.06493215,1.263167272,9.208080987,14.58490911,162.3080906,73.87550341,1.682757618,1379.881845,2322.006688,1.089259248,763.8289762
44,1,259.0302841,96.10342501,78.44971564,2.768236807,2146.383378,38.48086703,16.97042733,34.89807572,111.7461838,77.94154324,20.17891251,130.3409782,213.8121162,40.15825458,67.66573786,26.32114317,925.8297137,11.81576595,87.92975726,1.261914636,9.195342872,14.43069428,162.2405228,74.01995107,1.683063231,1375.982579,2315.865684,1.078961805,766.1381241
45,1,258.2916347,95.87299441,78.31120701,2.767059483,2161.197128,38.33499986,16.90645841,34.88984659,111.6568893,77.91349332,20.12057113,131.0042259,215.0712725,40.29794939,68.02299903,26.38979308,925.4353431,11.78843664,87.78761179,1.260362319,9.179628806,14.2899527,162.1677792,74.14441793,1.683344174,1371.851355,2309.297986,1.068527232,767.8057095
46,1,257.5042339,95.61243946,78.14659892,2.765338162,2176.081358,38.17537029,16.834819,34.87235164,111.5598092,77.8732987,20.05756741,131.6819518,216.3500479,40.43977276,68.35412294,26.47220529,925.0307215,11.75789625,87.63720607,1.258492115,9.160821682,14.16316521,162.090368,74.24603079,1.683598047,1367.462648,2302.257443,1.057983165,768.7981166
47,1,256.6634747,95.32044081,77.95441302,2.762889165,2190.947985,38.00183025,16.75555155,34.8444123,111.4524271,77.81645059,19.99031153,132.3755871,217.634697,40.58206393,68.6491046,26.56530135,924.5897456,11.7241024,87.47750679,1.256289698,9.13883004,14.05041831,162.0088139,74.32252895,1.683822456,1362.797151,2294.708446,1.047358706,769.0918362
48,1,255.7665972,94.99639787,77.73354692,2.759547198,2205.712379,37.81454202,16.66885906,34.80508405,111.3330676,77.73944989,19.91925753,133.0866173,218.9115477,40.72311463,68.89870216,26.66578182,924.0880264,11.68706193,87.30774553,1.253746576,9.113598302,13.95145372,161.9236077,74.37243332,1.684015066,1357.843157,2286.628333,1.036684726,768.6747111
