Age,70,120,220,270,320,370,420,470,520,570,620,670,720,770,820,870,920,970,1020,1070
90,1,1.17,1.3689,1.6016,1.8739,2.1924,2.5652,3.0012,3.5115,4.1084,4.8068,5.624,6.5801,7.6987,9.0075,10.5387,12.3303,14.4265,16.879,19.7484
91,1,1.17,1.3689,1.6016,1.8739,2.1924,2.5652,3.0012,3.5115,4.1084,4.8068,5.624,6.5801,7.6987,9.0075,10.5387,12.3303,14.4265,16.879,19.7484
92,1,1.17,1.3689,1.6016,1.8739,2.1924,2.5652,3.0012,3.5115,4.1084,4.8068,5.624,6.5801,7.6987,9.0075,10.5387,12.3303,14.4265,16.879,19.7484
93,1,1.17,1.3689,1.6016,1.8739,2.1924,2.5652,3.0012,3.5115,4.1084,4.8068,5.624,6.5801,7.6987,9.0075,10.5387,12.3303,14.4265,16.879,19.7484
94,1,1.17,1.3689,1.6016,1.8739,2.1924,2.5652,3.0012,3.5115,4.1084,4.8068,5.624,6.5801,7.6987,9.0075,10.5387,12.3303,14.4265,16.879,19.7484
95,1,1.17,1.3689,1.6016,1.8739,2.1924,2.5652,3.0012,3.5115,4.1084,4.8068,5.624,6.5801,7.6987,9.0075,10.5387,12.3303,14.4265,16.879,19.7484
96,1,1.17,1.3689,1.6016,1.8739,2.1924,2.5652,3.0012,3.5115,4.1084,4.8068,5.624,6.5801,7.6987,9.0075,10.5387,12.3303,14.4265,16.879,19.7484
97,1,1.17,1.3689,1.6016,1.8739,2.1924,2.5652,3.0012,3.5115,4.1084,4.8068,5.624,6.5801,7.6987,9.0075,10.5387,12.3303,14.4265,16.879,19.7484
98,1,1.17,1.3689,1.6016,1.8739,2.1924,2.5652,3.0012,3.5115,4.1084,4.8068,5.624,6.5801,7.6987,9.0075,10.5387,12.3303,14.4265,16.879,19.7484
99,1,1.17,1.3689,1.6016,1.8739,2.1924,2.5652,3.0012,3.5115,4.1084,4.8068,5.624,6.5801,7.6987,9.0075,10.5387,12.3303,14.4265,16.879,19.7484
100,1,1.17,1.3689,1.6016,1.8739,2.1924,2.5652,3.0012,3.5115,4.1084,4.8068,5.624,6.5801,7.6987,9.0075,10.5387,12.3303,14.4265,16.879,19.7484
101,1,1.17,1.3689,1.6016,1.8739,2.1924,2.5652,3.0012,3.5115,4.1084,4.8068,5.624,6.5801,7.6987,9.0075,10.5387,12.3303,14.4265,16.879,19.7484
102,1,1.17,1.3689,1.6016,1.8739,2.1924,2.5652,3.0012,3.5115,4.1084,4.8068,5.624,6.5801,7.6987,9.0075,10.5387,12.3303,14.4265,16.879,19.7484
103,1,1.17,1.3689,1.6016,1.8739,2.1924,2.5652,3.0012,3.5115,4.1084,4.8068,5.624,6.5801,7.6987,9.0075,10.5387,12.3303,14.4265,16.879,19.7484
104,1,1.17,1.3689,1.6016,1.8739,2.1924,2.5652,3.0012,3.5115,4.1084,4.8068,5.624,6.5801,7.6987,9.0075,10.5387,12.3303,14.4265,16.879,19.7484
105,1,1.17,1.3689,1.6016,1.8739,2.1924,2.5652,3.0012,3.5115,4.1084,4.8068,5.624,6.5801,7.6987,9.0075,10.5387,12.3303,14.4265,16.879,19.7484
106,1,1.17,1.3689,1.6016,1.8739,2.1924,2.5652,3.0012,3.5115,4.1084,4.8068,5.624,6.5801,7.6987,9.0075,10.5387,12.3303,14.4265,16.879,19.7484
107,1,1.17,1.3689,1.6016,1.8739,2.1924,2.5652,3.0012,3.5115,4.1084,4.8068,5.624,6.5801,7.6987,9.0075,10.5387,12.3303,14.4265,16.879,19.7484
108,1,1.17,1.3689,1.6016,1.8739,2.1924,2.5652,3.0012,3.5115,4.1084,4.8068,5.624,6.5801,7.6987,9.0075,10.5387,12.3303,14.4265,16.879,19.7484
109,1,1.17,1.3689,1.6016,1.8739,2.1924,2.5652,3.0012,3.5115,4.1084,4.8068,5.624,6.5801,7.6987,9.0075,10.5387,12.3303,14.4265,16.879,19.7484
110,1,1.17,1.3689,1.6016,1.8739,2.1924,2.5652,3.0012,3.5115,4.1084,4.8068,5.624,6.5801,7.6987,9.0075,10.5387,12.3303,14.4265,16.879,19.7484
