,quantile
399,1.164772317
400,0.957300375
401,1.109847054
402,0.692934122
403,0.605455776
404,0.960573907
405,0.798208092
406,0.497146987
407,1.170686687
408,0.881231976
409,0.980721074
410,0.670824253
411,1.200032108
412,0.893137953
413,0.679866563
414,0.884934536
415,1.103616876
416,0.825988575
417,0.638118161
418,1.186469811
419,0.932444079
420,0.880736335
421,1.195228553
422,0.963086931
423,1.114074142
424,1.131028736
425,1.160474285
426,0.90365969
427,1.089506874
428,0.834106049
429,0.702183546
430,1.030369442
431,0.692985339
432,1.179751524
433,0.967079343
434,0.663181287
435,1.348299876
436,0.929065813
437,0.992847482
438,0.827908752
439,0.635476341
440,0.676508526
441,1.012361157
442,1.150680494
443,1.061124935
444,0.826261216
445,0.94488474
446,0.944915629
447,1.102361454
448,0.974832652
449,0.605455776
450,0.85473518
451,0.929291253
452,0.776564256
453,0.975590659
454,1.233336294
455,1.058602597
456,1.262303702
457,0.876688973
458,1.452501298
459,0.833162011
460,0.681587409
461,0.964165198
462,1.266547635
463,1.120325152
464,0.92704185
465,0.778320702
466,0.757479857
467,0.524853604
468,1.138943844
469,0.829624904
470,1.252854793
471,0.670130285
472,0.704858093
473,0.878791462
474,1.041736888
475,1.084643414
476,0.892274918
477,1.197878136
478,1.058408688
479,1.145218346
480,0.803333174
481,0.73365189
482,1.192099419
483,0.890886818
484,0.78234781
485,1.046466325
486,0.6942035
487,0.968709198
488,0.97206285
489,1.866863739
490,0.764461174
491,0.900413945
492,0.570262939
493,1.060815278
494,0.584380102
495,0.900608966
496,0.811794077
497,1.146507413
498,1.296797721
499,0.962485308
500,1.486664105
501,0.898736968
502,1.281072979
503,0.868104977
504,1.367216818
505,1.366829395
506,1.429847608
507,0.944433311
508,0.92862314
509,0.967570623
510,0.957085379
511,1.246101129
512,0.894210518
513,1.164873652
514,0.79519798
515,0.839519099
516,0.912794958
517,0.7172321
518,0.982745831
519,0.848145815
520,0.458535833
521,1.706638018
522,1.220591577
523,1.070231522
524,1.00859222
525,0.8679635
526,0.941651073
527,0.710795508
528,0.53189299
529,0.982376357
530,0.968250528
531,0.722951726
532,1.323957753
533,1.832688879
534,1.239794834
535,1.025647156
536,0.946542678
537,1.168339019
538,0.818682583
539,1.228831637
540,0.77731016
541,0.896551511
542,1.372412748
543,1.061766037
544,1.214387782
545,0.976248477
546,0.725875137
547,1.186748941
548,1.476537484
549,1.10459106
550,0.96213119
551,1.745287317
552,0.837369229
553,0.918923145
554,0.711275401
555,0.805463238
556,1.233607812
557,1.104055238
558,0.645672323
559,0.774535601
560,1.109098317
561,0.797063185
562,0.901142382
563,1.254619573
564,0.937400089
565,1.084361944
566,1.331233065
567,1.08650133
568,0.871553332
569,0.783646493
570,0.805482652
571,1.258613017
572,0.822310567
573,1.502891009
574,1.439433326
575,1.197311746
576,0.83046225
577,0.925035443
578,0.558652676
579,0.688336339
580,0.691797911
581,0.911477879
582,0.780363892
583,0.771358448
584,0.731225853
585,0.930795553
586,1.058550561
587,0.72457772
588,0.858425646
589,1.409941235
590,0.838484393
591,0.808680968
592,0.818864805
593,1.146845188
594,1.384666486
595,1.252643622
596,1.530013081
597,0.844808375
598,0.866507531
599,0.978451271
600,1.229457267
601,1.239519852
602,1.20402635
603,1.060133295
604,0.809001924
605,0.960858917
606,0.82371109
607,1.078536453
608,1.840731006
609,1.399912257
610,0.761075479
611,1.308509912
612,1.209404382
613,0.803268493
614,1.062469182
615,1.319383452
616,0.872229811
617,0.951462575
618,0.778944231
619,1.023854221
620,1.445903453
621,1.283903248
622,1.201870918
623,1.981029851
624,0.903805372
625,1.203126247
626,0.980264322
627,1.591790159
628,0.576626072
629,0.913009078
630,1.130547753
631,1.282841587
632,0.885104108
633,1.338379251
634,1.045792376
635,1.569519542
636,1.447237516
637,1.56674451
638,1.081161447
639,1.538970306
640,0.731889531
641,0.610262593
642,1.208281531
643,1.165814791
644,1.323331664
645,1.023636147
646,1.043931598
647,0.926835418
648,1.206069333
649,1.031468057
650,0.714502613
651,0.972718936
652,1.192031834
653,1.019537407
654,1.018523074
655,1.232162677
656,0.947382732
657,0.899400375
658,0.909674631
659,1.264983414
660,1.544849477
661,0.804765694
662,0.637094551
663,0.71894918
664,1.047290425
665,0.872182004
666,0.876473108
667,0.946257768
668,1.254576549
669,0.904750341
670,0.990796356
671,1.007376222
672,0.814105561
673,1.217165095
674,0.990459564
675,1.205518272
676,1.026861871
677,0.636131138
678,0.932254276
679,1.087364255
680,0.986800232
681,0.981027137
682,0.744696115
683,0.545693432
684,0.600544853
685,1.031601331
686,0.890158938
687,0.889399586
688,0.854260034
689,0.962582004
690,0.846276067
691,1.097200709
692,1.114679464
693,0.666346189
694,1.090884268
695,1.087080136
696,0.577904474
697,1.005718172
698,0.87227651
699,0.787579655
700,1.10849981
701,0.84906764
702,0.959450399
703,0.915145878
704,1.02012919
705,0.734046961
706,0.874694601
707,1.012122604
708,1.033693304
709,0.468922939
710,0.483297299
711,1.0648869
712,0.539962704
713,0.9608588
714,0.935221517
715,1.061657536
716,0.976587145
717,1.331857194
718,0.863741453
719,1.289674852
720,1.309375836
721,1.48558901
722,1.4291896
723,0.892195924
724,0.912107929
725,1.273671648
726,0.837502607
727,1.234695895
728,1.037572974
729,0.730555852
730,0.82788242
731,1.002649836
732,1.070005797
733,1.141073801
734,0.841635984
