,quantile
464,0.611199587
465,1.036694203
466,0.921349242
467,1.437895291
468,0.75949382
469,1.291735099
470,1.102680549
471,1.424995407
472,1.067991448
473,1.274644797
474,0.565345853
475,1.346498487
476,1.379981989
477,0.525018863
478,1.015466594
479,0.803984913
480,0.919328788
481,1.039908479
482,0.923418415
483,0.847490917
484,1.010905331
485,1.967783782
486,0.478210164
487,1.120093274
488,0.667822532
489,0.594989739
490,0.733231044
491,0.898473537
492,0.631085997
493,0.602108935
494,1.70116166
495,0.866805662
496,1.013658162
497,1.102566583
498,1.435914831
499,0.293543184
500,0.631528245
501,0.538779926
502,0.958870811
503,1.554260608
504,0.904272444
505,0.558097571
506,0.249005173
507,1.382742845
508,0.644794185
509,1.012777849
510,2.273808304
511,0.663229946
512,1.155932675
513,0.217095105
514,0.919404125
515,1.818455381
516,0.409962852
517,2.053232126
518,0.739501808
519,1.068101488
520,0.63829196
521,1.289915726
522,1.671093832
523,0.951583405
524,1.051368833
525,1.334300328
526,1.461258808
527,0.657281632
528,1.38636553
529,0.416153071
530,0.965709409
531,0.820708821
532,1.773048934
533,0.702647153
534,0.832565014
535,1.209808602
536,1.409296284
537,0.749325758
538,0.830073407
539,0.852028533
540,0.596476478
541,0.888128696
542,0.846593364
543,0.793778398
544,0.722363581
545,1.628834672
546,1.010392495
547,1.779726597
548,0.778474198
549,1.887995596
550,0.821875361
551,0.05086421
552,0.453442535
553,0.337434425
554,0.62089651
555,1.038317811
556,1.195059211
557,0.978533769
558,0.75662045
559,1.545291054
560,0.972018259
561,0.945127772
562,1.033033256
563,0.819334046
564,0.91365889
565,0.053336998
566,0.373862986
567,1.206260248
568,2.451552901
569,0.59116928
570,0.454011186
571,0.682314502
572,1.106243946
573,0.115870487
574,1.161119682
575,0.329475881
576,0.905368765
577,0.501801231
578,1.447793994
579,1.059113363
580,0.870094422
581,1.958035329
582,0.891003802
583,1.181931337
584,1.481258693
585,1.280922001
586,1.547918288
587,0.179344597
588,0.741282322
589,0.768043149
590,0.782682947
591,0.613215435
592,0.901894827
593,0.772066511
594,1.098682227
595,1.351489831
596,0.433774259
597,1.745864592
598,1.786551074
599,1.271755039
600,0.272185925
601,1.127071776
602,1.240449482
603,0.734792232
604,1.487830969
605,0.862636347
606,0.990435237
607,1.146933551
608,0.526015749
609,1.300980898
610,1.163949872
611,0.746446539
612,0.646168438
613,1.091515866
614,1.601377685
615,0.747607974
616,0.444100935
617,1.793492839
618,0.973926261
619,0.248059734
620,0.593493869
621,1.319488722
622,1.355811455
623,0.92144201
624,0.52630903
625,0.801453013
626,0.650511741
627,0.736376739
628,1.232836175
629,0.426630737
630,0.584699388
631,1.499267492
632,0.729050413
633,2.125263662
634,0.723456595
635,1.719583906
636,0.662366836
637,1.728445545
638,0.574052034
639,0.502223013
640,0.610968423
641,1.397845222
642,0.847919451
643,2.041912743
644,1.258015446
645,1.412103487
646,0.526617164
647,0.759016945
648,1.313551937
649,0.824227792
650,1.018327831
651,0.536233064
652,1.034653337
653,1.085890453
654,0.821636802
655,0.790116058
656,1.046860744
657,0.679434525
658,1.037090155
659,0.858117544
660,1.510583815
661,1.070355297
662,0.535296006
663,0.436147786
664,1.703214975
665,1.163611848
666,0.881222421
667,0.971570155
668,1.112383063
669,0.713673656
670,0.716577217
671,0.502666543
672,0.458504333
673,1.203508388
674,0.563206534
675,0.660528855
676,1.273818379
677,0.503718861
678,1.689716975
679,0.409445865
680,1.031321222
681,0.905928402
682,0.826491502
683,0.555868817
684,0.972550813
685,0.659818706
686,0.671412762
687,0.595815054
688,1.188631187
689,1.333473352
690,1.673146443
691,0.571764643
692,0.556342505
693,1.427303057
694,1.010485813
695,0.578486103
696,1.249994343
697,1.746024227
698,1.151640286
699,0.724121497
700,0.818215644
701,1.061105039
702,0.973300264
703,0.260152376
704,0.500869368
705,1.74683497
706,0.603513708
707,1.064723811
708,1.073562596
709,1.095388947
710,1.580889124
711,0.314537934
712,1.989250991
713,0.18384633
714,1.452886675
715,0.419254332
716,0.891872157
717,0.781425472
718,1.166893289
719,0.73825266
720,0.711510127
721,1.503832918
722,1.022912952
723,0.344298954
724,1.158294049
725,0.657330306
726,1.163074569
727,1.254506027
728,1.11275654
729,1.200214256
730,0.21092739
731,1.195222929
732,0.758522478
733,1.100870299
734,0.860081995
735,1.367276218
736,0.576267063
737,1.406388876
738,1.013867237
739,0.639813541
740,0.886959418
741,1.187057264
742,1.488261904
743,0.786843931
744,0.63042748
745,2.243516709
746,0.737024142
747,1.247817672
748,1.990933542
749,1.342639756
750,1.00764245
751,1.253965466
752,1.291727358
753,0.602616385
754,0.651985497
755,0.752160084
756,1.062883357
757,0.510170283
758,0.642142178
759,0.871861688
760,1.137889586
761,1.256775495
762,1.614140084
763,0.54991099
764,1.034539884
765,1.287569683
766,0.318194296
767,0.519618367
768,1.152584778
769,1.382349087
770,0.586061779
771,0.926390013
772,0.394461907
773,0.219481488
774,1.03039326
775,0.733171636
776,1.271588037
777,1.552721994
778,0.790578427
779,0.530920484
780,0.987101677
781,0.74637167
782,1.224288932
783,2.116158481
784,0.813649198
785,0.583516243
786,2.341525963
787,1.485908277
788,1.167375722
789,0.475955826
790,1.159239873
791,1.064871852
792,0.068531152
793,1.132962838
794,0.532103972
795,1.17773457
796,0.460551405
797,1.074374618
798,0.417671929
799,1.872825997
800,0.502835254
801,0.348954161
802,1.535434312
803,0.594493065
804,0.836069835
805,0.946104584
806,2.506877399
807,0.807162998
808,1.017322398
809,0.654584754
810,0.472597521
811,0.234441675
812,2.511546526
813,0.504067359
814,1.040525134
815,1.188435412
816,1.170279137
817,0.983989747
818,0.825289815
819,1.226510542
820,0.855397074
821,0.783784487
822,0.966124735
823,0.784480115
824,0.659859817
825,0.862331196
826,0.864749449
827,1.118352374
828,1.208098624
829,1.109300124
