,quantile
209,1.155369748
210,0.961648273
211,0.936191208
212,0.737993439
213,1.120356695
214,0.615355455
215,1.201199729
216,0.525606935
217,0.512809805
218,0.97957374
219,0.767635433
220,1.01525857
221,1.222238318
222,0.978760068
223,0.863231405
224,0.520608192
225,1.554834705
226,0.931613828
227,1.108716498
228,1.020364588
229,0.851969617
230,1.212940205
231,1.189989507
232,0.992878308
233,0.926122332
234,1.164356379
235,1.102218573
236,1.206900117
237,1.044282128
238,0.868207766
239,0.850545438
240,0.974579571
241,0.835152022
242,1.009214293
243,0.913664946
244,0.84999392
245,0.722432748
246,1.206899666
247,0.803180436
248,0.911891163
249,1.010370293
250,1.285866928
251,1.41592766
252,1.124444194
253,0.549802403
254,0.598929334
255,0.966118967
256,1.14004381
257,0.913479514
258,0.840812403
259,1.229975354
260,1.110989026
261,0.977670738
262,0.923861158
263,0.372191381
264,0.579153365
265,1.026523542
266,1.071044714
267,0.981586807
268,1.047980884
269,1.153918327
270,0.588517364
271,1.142856887
272,1.062747576
273,0.85559509
274,1.0819053
275,1.134639245
276,1.138910708
277,1.04335695
278,0.766543548
279,0.591426015
280,0.850507873
281,0.899036568
282,0.923861158
283,1.029203125
284,1.026479811
285,1.005152338
286,0.998105014
287,1.160130345
288,1.08514143
289,1.424119896
290,1.106291523
291,0.939750664
292,1.499209396
293,0.936178551
294,1.042351115
295,1.084899006
296,1.395750199
297,1.025758158
298,0.993209222
299,1.561981071
300,1.047184621
301,0.770364018
302,0.772989297
303,1.302276609
304,0.988120088
305,0.619249994
306,1.336909172
307,0.683502771
308,1.152714621
309,0.885466369
310,1.01067142
311,0.8710784
312,1.075182361
313,1.048777801
314,0.709356758
315,1.338974605
316,1.00759256
317,0.983277126
318,1.024470023
319,0.5791117
320,1.021826366
321,0.582010278
322,1.015555956
323,1.514089107
324,1.350160274
325,1.067923161
326,1.050908915
327,1.039237758
328,1.561235747
329,0.979452118
330,1.07737797
331,1.291219521
332,1.093315484
333,1.20585743
334,1.147334587
335,0.612411417
336,1.163840781
337,1.039237758
338,0.928588326
339,1.039903195
340,1.298804562
341,0.59727295
342,0.963239919
343,0.833452316
344,0.599533852
345,1.102466475
346,0.92272874
347,1.078911647
348,1.368101166
349,0.984675011
350,1.259464865
351,0.591516302
352,0.546549105
353,0.972971195
354,0.994212386
355,0.625929403
356,0.635813962
357,1.019386897
358,1.052596156
359,0.639803517
360,1.074979663
361,1.19557363
362,0.595890116
363,0.69387562
364,0.899516531
365,0.978557335
366,1.058561421
367,1.146843387
368,0.995270847
369,1.017595276
370,0.994763699
371,0.73672293
372,0.847014046
373,0.927096677
374,1.249898608
375,0.827288439
376,1.116563125
377,1.327558364
378,1.224534445
379,0.610198203
380,1.000143272
381,0.921499865
382,0.65853299
383,1.159355222
384,1.076012882
385,1.466113519
386,0.984883008
