Age,Gender,region1,region2,region3,region4
68,0,0.82461202,0.054293452,0.093070878,0.02802365
69,0,0.825546048,0.054216712,0.092878256,0.027358985
70,0,0.828797391,0.054796576,0.088629433,0.0277766
71,0,0.830198986,0.056175817,0.086818934,0.026806263
72,0,0.834737733,0.055460225,0.084248031,0.025554011
73,0,0.840966165,0.055334422,0.080026038,0.023673374
74,0,0.841916342,0.053539677,0.081489357,0.023054624
75,0,0.81149049,0.052268919,0.109690121,0.02655047
76,0,0.83979741,0.053970956,0.080425859,0.025805775
77,0,0.838054649,0.054529162,0.0795685,0.027847689
78,0,0.832433842,0.05455155,0.085727191,0.027287417
79,0,0.825044646,0.055045364,0.092514472,0.027395518
80,0,0.830189703,0.055005998,0.088763103,0.026041196
81,0,0.845421452,0.053290035,0.076113713,0.025174799
82,0,0.84263046,0.052072632,0.079384917,0.025911991
83,0,0.843496168,0.052086622,0.079963262,0.024453948
84,0,0.842184887,0.051564615,0.080953898,0.0252966
85,0,0.844001281,0.05171294,0.08017198,0.0241138
86,0,0.843128046,0.052464594,0.080413705,0.023993655
87,0,0.842390771,0.050343643,0.083308787,0.023956799
88,0,0.845773477,0.050712591,0.079457777,0.024056155
89,0,0.848599201,0.048922657,0.079314005,0.023164137
90,0,0.846080674,0.049242041,0.082879637,0.021797648
91,0,0.84672751,0.050143416,0.081929596,0.021199478
92,0,0.849642651,0.050232022,0.080073163,0.020052163
93,0,0.845402064,0.051502341,0.082094641,0.021000955
94,0,0.856796117,0.049150485,0.073240291,0.020813107
95,0,0.850971922,0.054082073,0.074557235,0.020388769
96,0,0.850437651,0.053025498,0.076620576,0.019916276
97,0,0.855047619,0.05047619,0.072761905,0.021714286
98,0,0.859464082,0.051596351,0.067559863,0.021379704
99,0,0.875760209,0.04821894,0.059513467,0.016507385
100,0,0.868402778,0.046875,0.068402778,0.016319444
101,0,0.868402778,0.046875,0.068402778,0.016319444
102,0,0.868402778,0.046875,0.068402778,0.016319444
103,0,0.868402778,0.046875,0.068402778,0.016319444
104,0,0.868402778,0.046875,0.068402778,0.016319444
105,0,0.868402778,0.046875,0.068402778,0.016319444
106,0,0.868402778,0.046875,0.068402778,0.016319444
107,0,0.868402778,0.046875,0.068402778,0.016319444
